date,open,high,low,close,volume
2024-02-08 05:00:00,23.96,25.06,23.32,24.51,212671149.0
2024-02-09 05:00:00,25.04,25.11,23.57,24.38,149061975.0
2024-02-12 05:00:00,23.91,25.525,23.82,25.05,108173046.0
2024-02-13 05:00:00,23.53,24.66,23.31,24.01,102293322.0
2024-02-14 05:00:00,24.15,25.5,23.755,25.19,97227926.0
2024-02-15 05:00:00,25.04,25.46,24.71,25.41,70544321.0
2024-02-16 05:00:00,24.96,25.495,24.39,24.44,65498227.0
2024-02-20 05:00:00,23.84,24.0,22.715,23.4,93374349.0
2024-02-21 05:00:00,22.3,22.9299,22.29,22.74,60411461.0
2024-02-22 05:00:00,23.77,23.95,23.05,23.59,64458247.0
2024-02-23 05:00:00,23.53,24.07,22.82,22.97,48840765.0
2024-02-26 05:00:00,23.03,23.88,22.94,23.56,46499481.0
2024-02-27 05:00:00,23.76,24.62,23.72,24.53,64967421.0
2024-02-28 05:00:00,24.52,24.84,24.245,24.42,47313982.0
2024-02-29 05:00:00,24.81,25.2928,24.36,25.08,62753300.0
2024-03-01 05:00:00,25.3,25.69,24.535,24.93,64794407.0
2024-03-04 05:00:00,24.4,24.58,23.53,24.04,64320031.0
2024-03-05 05:00:00,23.96,24.4092,23.43,23.81,49542272.0
2024-03-06 05:00:00,25.75,26.75,24.53,26.16,207386942.0
2024-03-07 05:00:00,27.01,27.5,26.38,26.46,117519319.0
2024-03-08 05:00:00,27.19,27.28,25.81,26.04,84256124.0
2024-03-11 04:00:00,25.89,26.83,25.29,25.35,60829269.0
2024-03-12 04:00:00,25.57,25.64,24.35,24.7,75202613.0
2024-03-13 04:00:00,24.7,25.44,24.6,25.0,59712992.0
2024-03-14 04:00:00,24.83,24.97,24.14,24.43,49214784.0
2024-03-15 04:00:00,23.85,24.1,23.42,23.49,61420999.0
2024-03-18 04:00:00,23.77,24.18,23.32,24.0,44083043.0
2024-03-19 04:00:00,23.5,23.83,22.92,23.8,43247249.0
2024-03-20 04:00:00,23.77,24.65,23.67,24.57,40273774.0
2024-03-21 04:00:00,25.3,25.33,24.44,24.49,37099608.0
2024-03-22 04:00:00,24.2,24.475,24.02,24.18,25453029.0
2024-03-25 04:00:00,24.12,24.62,24.05,24.51,29255903.0
2024-03-26 04:00:00,24.76,25.47,24.4702,24.89,43610464.0
2024-03-27 04:00:00,25.0,25.48,24.26,24.51,38600086.0
2024-03-28 04:00:00,24.17,24.28,22.94,23.01,70008165.0
2024-04-01 04:00:00,22.98,23.21,22.4,22.86,41000029.0
2024-04-02 04:00:00,22.0,22.79,21.72,22.72,39770573.0
2024-04-03 04:00:00,22.44,23.01,22.38,22.7,30357412.0
2024-04-04 04:00:00,23.82,24.1,22.4,22.48,64995295.0
2024-04-05 04:00:00,22.42,23.32,22.3065,22.96,38716824.0
2024-04-08 04:00:00,23.08,23.2,22.67,23.0,25022708.0
2024-04-09 04:00:00,23.01,23.0868,22.46,22.81,27724525.0
2024-04-10 04:00:00,22.22,22.71,22.01,22.42,28642932.0
